review_id,asin,review_text,review_score
A222YG04UP2RGS,B007ZN5ATQ,"Died after 5 months of use.  This toothbrush (my wife's) was not even close to the quality of my Sonicare toothbrush, which was much more expensive (and worth the price).  Caveat emptor!",1
AUGD8H5NW2FPI,B007ZN5ATQ,The tooth brush head is so tiny and soft.  It may be good for a child's baby teeth but not for anyone else.  I wish I could send it back but I actually tried it once.,1
A29A2W20LS60C1,B007ZN5ATQ,"I thought I was getting a super deal on this toothbrush - not true.My hubby's Sonicare toothbrush was $100 and I thought this was the same but at a great price.  Unfortunately, this one is super loud.  Not pleased at all.",1
A8WEXFRWX1ZHH,B007ZN5ATQ,"I am also surprised Sonicare is still making this model.  I have owned Sonicares for years, probably bought 6-7 of them and my whole family has them.  There have been several generations of Sonicare, and up until the most recent generation, they had two critical flaws in my book, and this model shares those flaws:  (1) they only work on 110v - so if you travel outside the Americas, you have to carry a heavy converter (not adapter, voltage converter) or else they burn out and (2) the brush head is poorly designed so that water and saliva goes down into a reservoir inside which becomes a gunky stinky mess.  The entry level new design corrects both of these problems and is available on Amazon for about $10 more than this one -- and well worth it.  It's called the Sonicare Easy Clean.Philips Sonicare HX6511/50 Easy Clean Rechargeable Electric ToothbrushHope this helps... if you order this brush, just know about the two flaws above... other wise, like all Sonicares, it provides excellent cleaning and you'll love using it.  If price is your main consideration over all else, this is the model... otherwise spend a little bit more for the Easy Clean.Hope this helps!",1
A3HYSVDNUK7IUE,B007ZN5ATQ,"This toothbrush is too big for female hand, the way it vibrate is very annoying, its too strong, and you actually can't brush your teeth with your mouth open.I suggest you look at other more durable brands..",1
APBXG6UUFD260,B007ZN5ATQ,This toothbrush is not sanitary.  Standing water and spit collect inside the brush.  You can see this when you remove the head.  The manual recommends cleaning inside the brush once a week!.  I stopped using the brush because I believe it can cause health problems.  I contacted customer service more than 5 times and they have not gotten back to me. They just give me the same line - that someone will get back to me in 2 days.  I'll take the loss of $60 for the toothbrush and $25 for extra heads.  I'll never purchase a Philips product again.,1
A3CWRKJTB2SEQS,B003UKM9CO,OMG! The other reviewer was right: this thing is like a jack-hammer. My gums are still buzzing a half-hour later. I've owned a lot of electric toothbrushes and this one is dangerous. I had to count my teeth after using it. Get something else. You could not possibly do worse.,1
A3SMR4HRFJARSC,B003UKM9CO,"Updated review with more detail to explain my 1 star opinion---As I've shared in previous reviews for Oral-B electric toothbrush products, one of the Oral-B ""regular"" electric toothbrushes (similar to this ORAL-B PROFESSIONAL 1000) that I bought a few years ago made my teeth sensitive to the point of having pain. My dentist, who had recommended the Oral-B toothbrush in the first place, diagnosed the Oral-B electric toothbrush as being to blame for taking the enamel off my teeth. This was a temporary condition that resolved on its own once I discontinued its use per the dentist's order. At that time under the dentist's direction, I went back to using a Sonicare electric toothbrush. However not much later, Oral-B came out with their first ""SmartSeries"" which has a special sensor that monitors if the user is pressing too hard on the teeth--this is indicated by reading the signals on an LCD display. My dentist then recommended the SMARTSERIES model.My husband and two children have been using theOral-B Professional Care SmartSeries 5000 Rechargeable Toothbrushfor a few years.  We own two units because my kids have their own bathroom. They all like the SMARTSERIES 5000. I like that it helps teach my children just how much pressure is enough and when it is too much. The dentist and I feel this helps prevent damage to their enamel due to erroneous use of too much pressure.The ORAL-B 1000 PROFESSIONAL CARE electric toothbrush product which I tested for Amazon Vine claims to stop pulsing if too much pressure is put on the teeth. I cannot detect any difference in action no matter how hard I push against my teeth. I also tried pushing it against a fingertip and the palm of my hand.In reading the directions in the box I got confused because the manufacturer is using one set of directions for multiple models of their toothbrushes but not being specific on the directions as to which model is in the box. I then turned to the box for a closer reading of exactly what the 1000 series could do. I found small writing on the back and one side to indicate this model has one mode brushing which they say is for daily use. In the direction packet it states other models have two modes, one for ""daily use"" and one for sensitive teeth that has less pressure. There is also a notation that some models have a tooth whitening feature (no model numbers are stated or I'd share them here).This model comes with one regular brush head. By close reading of the direction packet I learned there is another model of head that is for sensitive teeth.If you are shopping for an electric toothbrush you need to know there are many options on the market, even with this latest series by Oral-B there are different models, some with more options than others.Even though my dentist has never given me a diagnosis of having ""sensitive teeth"" I don't like the sensation of this 1000 series Oral-B toothbrush, it is very strong and since it doesn't seem to stop any action no matter how much pressure I exert on it, I worry it is too rough on my teeth. I plan to stick to using my Sonicare. My husband and kids are happily still using their SMART SERIES with an LCD panel that tells them if they are pressing too hard.",1
AYKBS1W8M6TSA,B003UKM9CO,"The saying ""you get what you pay for"" applies. I've used Oral B electric toothbrushes for years. I liked the small footprint of the charger, plus a $20 rebate! How could I lose? This is truly a piece of junk. It rattles, it vibrates like a jack hammer, it even sounds cheap and like it's going to fall apart. Yes, I did get my rebate, unlike several people who reviewed this. The worst 2 things, tho, are that water somehow gets in the brush head and, unless you take it off and rinse out the inside, it starts smelling like swamp water. It's not just the head that came with the toothbrush. I've replaced the head, and the same thing happens. Pretty gross. I have to take the brush off every couple of days and soak it in Listerine antibiotic mouthwash. So apparently the unit doesn't seal to the brush somehow, despite the little o-rings that come with the brush heads. The second thing is that this wonderful small footprint charger get very hot. I'm very careful to dry the entire toothbrush every time I use it, but within a couple of days, a brown burnt gunk starts forming on the charger surface (the part that the toothbrush sits on) and every day there's more until I scrape it off and start over again. I think I'll just order another one and try to shame Oral B into a refund. This hot charger and burnt gunk make it hazardous, I think. Next time, I'll get the one I usually get. Pay the money and forget the cheap.",1
AIIZTJHZLV158,B003UKM9CO,"Don't fall for the $20 rebate scam. You buy the brush you mail everything in then instead of $20 then send you a rebate of $10 with no explanation or anything, when we called they said they would look into it then would call us back, never did. They also said we might have used a coupon with it and they don't allow both we dont remember using a coupon when buying it and they now have the original receipt so you can't check it or can't return it without the UPC. Pretty convenient for them huh? I don't even want the brush now since they basically stole my money to get me to buy it.I want my $10 back. Oral B I hope this review costs you more than my $10 you stole. I also might contact the FTC.As far as the brush goes it suppoed to occulate and vibrate it only occulates and it's very rough. I like my old battery operated one better, this is not worth the money.",1
