asin,review_id,star_rating,sentence,aspect,opinion_term,sentiment,confidence
B007ZN5ATQ,A222YG04UP2RGS,1,"This toothbrush (my wife's) was not even close to the quality of my Sonicare toothbrush, which was much more expensive (and worth the price).",price,worth,Positive,0.9189
B007ZN5ATQ,AUGD8H5NW2FPI,1,The tooth brush head is,tooth,,Neutral,0.8036
B007ZN5ATQ,A29A2W20LS60C1,1,I thought I was getting a super deal on this toothbrush - not true.,deal,super,Positive,0.6644
B007ZN5ATQ,A8WEXFRWX1ZHH,1,I am also surprised Sonicare is,Sonicare,surprised,Positive,0.6409
B007ZN5ATQ,A8WEXFRWX1ZHH,1,making this model.,model,making,Negative,0.8482
B007ZN5ATQ,A8WEXFRWX1ZHH,1,"I have owned Sonicares for years, probably bought 6-7 of them and my whole family has them.",Sonicares,owned,Neutral,0.5101
B007ZN5ATQ,A8WEXFRWX1ZHH,1,"if you travel outside the Americas, you have to carry a heavy converter (not adapter, voltage converter) or else they burn out and (2) the brush head is poorly designed",converter,heavy,Negative,0.6968
B007ZN5ATQ,A8WEXFRWX1ZHH,1,"if you travel outside the Americas, you have to carry a heavy converter (not adapter, voltage converter) or else they burn out and (2) the brush head is poorly designed",adapter,heavy,Negative,0.6925
B007ZN5ATQ,A8WEXFRWX1ZHH,1,"if you travel outside the Americas, you have to carry a heavy converter (not adapter, voltage converter) or else they burn out and (2) the brush head is poorly designed",voltage converter,,Negative,0.7875
B007ZN5ATQ,A8WEXFRWX1ZHH,1,"if you travel outside the Americas, you have to carry a heavy converter (not adapter, voltage converter) or else they burn out and (2) the brush head is poorly designed",brush head,,Negative,0.9932
B007ZN5ATQ,A8WEXFRWX1ZHH,1,that water and saliva goes down into a reservoir inside which becomes a gunky stinky mess.,water,goes,Negative,0.919
B007ZN5ATQ,A8WEXFRWX1ZHH,1,The entry level new design corrects both of these problems and is available on Amazon for about $10 more than this one -- and well worth it.,design,new,Positive,0.971
B007ZN5ATQ,A8WEXFRWX1ZHH,1,It's called the Sonicare Easy Clean.,Sonicare,called,Neutral,0.8196
B007ZN5ATQ,A8WEXFRWX1ZHH,1,It's called the Sonicare Easy Clean.,Clean,called,Neutral,0.7363
B007ZN5ATQ,A8WEXFRWX1ZHH,1,"Philips Sonicare HX6511/50 Easy Clean Rechargeable Electric ToothbrushHope this helps... if you order this brush, just know about the two flaws above... other wise, like all Sonicares, it provides excellent cleaning and you'll love using it.",ToothbrushHope,know,Positive,0.6835
B007ZN5ATQ,A8WEXFRWX1ZHH,1,"If price is your main consideration over all else, this is the model... otherwise spend a little bit more for the Easy Clean.",price,main,Positive,0.5852
B007ZN5ATQ,A3HYSVDNUK7IUE,1,"This toothbrush is too big for female hand, the way it vibrate is very annoying, its too strong, and you actually can't brush your teeth with your mouth open.",toothbrush,big,Negative,0.9927
B007ZN5ATQ,A3HYSVDNUK7IUE,1,"This toothbrush is too big for female hand, the way it vibrate is very annoying, its too strong, and you actually can't brush your teeth with your mouth open.",vibrate,annoying,Negative,0.9958
B007ZN5ATQ,APBXG6UUFD260,1,This toothbrush is not sanitary.,toothbrush,sanitary,Negative,0.9963
B007ZN5ATQ,APBXG6UUFD260,1,Standing water and spit collect inside the brush.,water,Standing,Neutral,0.9514
B007ZN5ATQ,APBXG6UUFD260,1,You can see this when you remove the head.,head,remove,Neutral,0.9891
B007ZN5ATQ,APBXG6UUFD260,1,The manual recommends cleaning inside the brush once a week!.,manual,recommends,Negative,0.5357
B007ZN5ATQ,APBXG6UUFD260,1,I stopped using the brush,brush,using,Negative,0.9941
B007ZN5ATQ,APBXG6UUFD260,1,I contacted customer service more than 5 times and they have not gotten back to me.,customer service,,Negative,0.9955
B007ZN5ATQ,APBXG6UUFD260,1,They just give me the same line - that someone will get back to me in 2 days.,line,same,Neutral,0.5214
B003UKM9CO,A3CWRKJTB2SEQS,1,My gums are,gums,,Negative,0.8634
B003UKM9CO,A3SMR4HRFJARSC,1,"My dentist, who had recommended the Oral-B toothbrush in the first place, diagnosed the Oral-B electric toothbrush as being to blame for taking the enamel off my teeth.",dentist,diagnosed,Negative,0.7682
B003UKM9CO,A3SMR4HRFJARSC,1,This was a temporary condition that resolved on its own once I discontinued its use per the dentist's order.,condition,temporary,Neutral,0.9248
B003UKM9CO,A3SMR4HRFJARSC,1,This was a temporary condition that resolved on its own once I discontinued its use per the dentist's order.,use,discontinued,Negative,0.5655
B003UKM9CO,A3SMR4HRFJARSC,1,"However not much later, Oral-B came out with their first ""SmartSeries"" which has a special sensor that monitors if the user is pressing too hard on the teeth--this is indicated by reading the signals on an LCD display.",sensor,special,Neutral,0.8456
B003UKM9CO,A3SMR4HRFJARSC,1,We own two units,units,own,Neutral,0.9374
B003UKM9CO,A3SMR4HRFJARSC,1,my kids have their own bathroom.,bathroom,own,Neutral,0.9487
B003UKM9CO,A3SMR4HRFJARSC,1,I like that it helps teach my children just how much pressure is enough and when it is too much.,pressure,much,Neutral,0.9595
B003UKM9CO,A3SMR4HRFJARSC,1,The ORAL-B 1000 PROFESSIONAL CARE electric toothbrush product which I tested for Amazon Vine claims to stop pulsing if too much pressure is put on the teeth.,pulsing,stop,Negative,0.9535
B003UKM9CO,A3SMR4HRFJARSC,1,In reading the directions in the box I got confused,directions,reading,Negative,0.9955
B003UKM9CO,A3SMR4HRFJARSC,1,I found small writing on the back and one side to indicate this model has one mode brushing which they say is for daily use.,writing,small,Negative,0.9931
B003UKM9CO,A3SMR4HRFJARSC,1,"In the direction packet it states other models have two modes, one for ""daily use"" and one for sensitive teeth that has less pressure.",daily,sensitive,Neutral,0.8662
B003UKM9CO,A3SMR4HRFJARSC,1,My husband and kids are happily,kids,,Positive,0.9986
B003UKM9CO,A3SMR4HRFJARSC,1,using their SMART SERIES with an LCD panel that tells them if they are pressing too hard.,LCD panel,,Neutral,0.7871
B003UKM9CO,AYKBS1W8M6TSA,1,"The saying ""you get what you pay for"" applies.",pay,saying,Neutral,0.8094
B003UKM9CO,AYKBS1W8M6TSA,1,"I liked the small footprint of the charger, plus a $20 rebate!",footprint,small,Positive,0.9142
B003UKM9CO,AYKBS1W8M6TSA,1,"I liked the small footprint of the charger, plus a $20 rebate!",rebate,small,Positive,0.8884
B003UKM9CO,AYKBS1W8M6TSA,1,"It rattles, it vibrates like a jack hammer, it even sounds cheap and like it's going to fall apart.",sounds,cheap,Negative,0.9864
B003UKM9CO,AYKBS1W8M6TSA,1,"Yes, I did get my rebate, unlike several people who reviewed this.",rebate,get,Neutral,0.9695
B003UKM9CO,AYKBS1W8M6TSA,1,"The worst 2 things, tho, are that water somehow gets in the brush head and, unless you take it off and rinse out the inside, it starts smelling like swamp water.",brush head,,Negative,0.9753
B003UKM9CO,AYKBS1W8M6TSA,1,"I've replaced the head, and the same thing happens.",head,replaced,Neutral,0.7161
B003UKM9CO,AYKBS1W8M6TSA,1,I have to take the brush off every couple of days and soak it in Listerine antibiotic mouthwash.,brush,take,Negative,0.9716
B003UKM9CO,AYKBS1W8M6TSA,1,I have to take the brush off every couple of days and soak it in Listerine antibiotic mouthwash.,Listerine,antibiotic,Negative,0.7101
B003UKM9CO,AYKBS1W8M6TSA,1,"So apparently the unit doesn't seal to the brush somehow,",unit,n't seal,Negative,0.9747
B003UKM9CO,AYKBS1W8M6TSA,1,the little o-rings that come with the brush heads.,brush heads,,Neutral,0.9747
B003UKM9CO,AYKBS1W8M6TSA,1,The second thing is that this wonderful small footprint charger get very hot.,charger,wonderful,Negative,0.8809
B003UKM9CO,AYKBS1W8M6TSA,1,"I'm very careful to dry the entire toothbrush every time I use it,",toothbrush,entire,Neutral,0.8889
B003UKM9CO,AYKBS1W8M6TSA,1,"within a couple of days, a brown burnt gunk starts forming on the charger surface (the part that the toothbrush sits on) and every day there's more until I scrape it off and start over again.",charger surface,,Negative,0.9409
B003UKM9CO,AYKBS1W8M6TSA,1,"This hot charger and burnt gunk make it hazardous, I think.",charger,hot,Negative,0.997
B003UKM9CO,AYKBS1W8M6TSA,1,Pay the money and forget the cheap.,money,Pay,Neutral,0.9757
B003UKM9CO,AYKBS1W8M6TSA,1,Pay the money and forget the cheap.,cheap,forget,Negative,0.6955
B003UKM9CO,AIIZTJHZLV158,1,Don't fall for the $20 rebate scam.,rebate,fall,Negative,0.9953
B003UKM9CO,AIIZTJHZLV158,1,"You buy the brush you mail everything in then instead of $20 then send you a rebate of $10 with no explanation or anything, when we called they said they would look into it then would call us back, never did.",rebate,send,Negative,0.9286
B003UKM9CO,AIIZTJHZLV158,1,They also said we might have used a coupon with it and they don't allow both we dont remember using a coupon when buying it and they now have the original receipt,coupon,used,Neutral,0.5795
B003UKM9CO,AIIZTJHZLV158,1,They also said we might have used a coupon with it and they don't allow both we dont remember using a coupon when buying it and they now have the original receipt,receipt,original,Neutral,0.7829
B003UKM9CO,AIIZTJHZLV158,1,you can't check it or can't return it without the UPC.,return,check,Negative,0.6083
B003UKM9CO,AIIZTJHZLV158,1,I don't even want the brush now,brush,n't want,Negative,0.98
B003UKM9CO,AIIZTJHZLV158,1,I also might contact the FTC.As far as the brush goes it suppoed to occulate and vibrate it only occulates and it's very rough.,FTC,contact,Neutral,0.9066
B003UKM9CO,AIIZTJHZLV158,1,I also might contact the FTC.As far as the brush goes it suppoed to occulate and vibrate it only occulates and it's very rough.,brush,goes,Negative,0.871
B003UKM9CO,AIIZTJHZLV158,1,"I like my old battery operated one better, this is not worth the money.",battery operated,,Positive,0.8704
B003UKM9CO,AIIZTJHZLV158,1,"I like my old battery operated one better, this is not worth the money.",money,worth,Negative,0.9619
B003UKM9CO,A3OPRKAZ0FMA5H,1,"This was not a feature, as it happened intermittently.",feature,happened,Neutral,0.9674
